nom_alcaldia,nom_colonia,pob_colonia,n_fugas_total,fugas_per_capita,antiguedad_red_proxy,dist_planta_km,estres_score
IZTAPALAPA,CONSTITUCION DE 1917 I,8945,529,59.139,0.891,0.16,1.0
TLAHUAC,OJO DE AGUA,3128,263,84.079,0.81,0.57,0.832
TLAHUAC,EL MIRADOR - SANTA CATARINA,40,91,2275.0,0.81,4.57,0.813
XOCHIMILCO,SAN PEDRO (BARR),2918,148,50.72,0.651,0.11,0.812
IZTAPALAPA,LOS ANGELES,13375,699,52.262,0.891,0.53,0.811
XOCHIMILCO,EL ROSARIO (BARR),625,90,144.0,0.651,0.66,0.79
IZTACALCO,CUCHILLA AGRICOLA ORIENTAL,2473,8881,3591.185,0.816,3.02,0.783
IZTACALCO,GABRIEL RAMOS MILLAN,7415,966,130.276,0.816,0.48,0.771
XOCHIMILCO,SAN LORENZO,937,1335,1424.76,0.651,2.98,0.752
XOCHIMILCO,SANTA CRUCITA (BARR),382,52,136.126,0.651,0.83,0.738
IZTACALCO,PICOS IZTACALCO 1B,1593,206,129.316,0.816,0.6,0.734
IZTAPALAPA,LA REGADERA,652,22,33.742,0.891,0.5,0.733
IZTAPALAPA,LOMAS ESTRELLA  III (U HAB),886,386,435.666,0.891,3.65,0.727
XOCHIMILCO,LA GUADALUPITA (BARR),661,101,152.799,0.651,1.01,0.716
TLAHUAC,SELENE (AMPL),6081,813,133.695,0.81,1.47,0.714
