cve_alcaldia,nombre_oficial,nombre_norm
002,Azcapotzalco,AZCAPOTZALCO
003,Coyoacán,COYOACAN
004,Cuajimalpa de Morelos,CUAJIMALPA DE MORELOS
005,Gustavo A. Madero,GUSTAVO A. MADERO
006,Iztacalco,IZTACALCO
007,Iztapalapa,IZTAPALAPA
008,La Magdalena Contreras,LA MAGDALENA CONTRERAS
009,Milpa Alta,MILPA ALTA
010,Álvaro Obregón,ALVARO OBREGON
011,Tláhuac,TLAHUAC
012,Tlalpan,TLALPAN
013,Xochimilco,XOCHIMILCO
014,Benito Juárez,BENITO JUAREZ
015,Cuauhtémoc,CUAUHTEMOC
016,Miguel Hidalgo,MIGUEL HIDALGO
017,Venustiano Carranza,VENUSTIANO CARRANZA
