cve_alcaldia,nombre_oficial,pob_inegi,pob0_14,pob15_64,pob65_mas,viviendas_inegi,tvivparhab,vph_aguadv,vph_aguafv,vph_tinaco,vph_cister,vph_drenaj,vph_nodren,vph_c_serv,vph_excsa,pct_aguadv,pct_drenaje,pct_tinaco,densidad_pob_por_vivienda,pob_coneval,pobreza_pct_promedio,ingreso_lpi_pct_promedio,carencia_calidad_espacios_pct,err_pob_pct
002,Azcapotzalco,432205,70366.0,306611.0,54863.0,149381,134168.0,133597.0,239.0,107591.0,84062.0,133748.0,87.0,133511.0,133572.0,99.57,99.69,80.19,3.22,404958,24.59,36.82,3.56,6.3
003,Coyoacán,614447,91327.0,432544.0,90448.0,208024,191517.0,191053.0,133.0,154811.0,114453.0,190986.0,182.0,190814.0,190834.0,99.76,99.72,80.83,3.21,568912,27.5,39.04,4.39,7.41
004,Cuajimalpa de Morelos,217643,45294.0,155474.0,16759.0,65808,60426.0,60030.0,284.0,52308.0,23963.0,60135.0,137.0,59852.0,59984.0,99.34,99.52,86.57,3.6,199873,31.77,41.38,6.59,8.16
005,Gustavo A. Madero,1173351,212345.0,819397.0,141375.0,370297,340155.0,338900.0,755.0,290036.0,174056.0,339341.0,298.0,338541.0,338954.0,99.63,99.76,85.27,3.45,1130265,33.69,46.69,3.98,3.67
006,Iztacalco,404695,69312.0,286131.0,49074.0,130175,117720.0,117352.0,93.0,99351.0,81344.0,117387.0,42.0,117263.0,117282.0,99.69,99.72,84.4,3.44,376977,25.72,35.13,3.52,6.85
007,Iztapalapa,1835486,366835.0,1293944.0,174312.0,537596,504365.0,502275.0,1278.0,421102.0,324283.0,503213.0,327.0,501797.0,502598.0,99.59,99.77,83.49,3.64,1760382,42.87,53.85,7.03,4.09
008,La Magdalena Contreras,247580,47369.0,174112.0,26056.0,71522,68074.0,67176.0,798.0,57722.0,16829.0,67738.0,229.0,67014.0,67665.0,98.68,99.51,84.79,3.64,241691,42.17,54.2,6.15,2.38
009,Milpa Alta,152538,36270.0,105525.0,10729.0,44758,39056.0,34906.0,4080.0,33890.0,8552.0,38384.0,602.0,34553.0,37832.0,89.37,98.28,86.77,3.91,161267,53.44,59.38,10.83,5.72
010,Álvaro Obregón,759133,136052.0,538446.0,83812.0,236128,219353.0,218343.0,417.0,178183.0,69663.0,218479.0,220.0,218071.0,218348.0,99.54,99.6,81.23,3.46,726045,37.67,48.76,5.22,4.36
011,Tláhuac,392253,84030.0,278477.0,29601.0,118973,106926.0,104365.0,2289.0,89033.0,48690.0,106392.0,261.0,104136.0,105851.0,97.6,99.5,83.27,3.67,377745,41.5,51.39,5.8,3.7
012,Tlalpan,699605,129087.0,495953.0,74034.0,224591,202227.0,193455.0,8362.0,173287.0,137621.0,201164.0,645.0,192936.0,200531.0,95.66,99.47,85.69,3.46,690788,38.69,46.64,6.39,1.26
013,Xochimilco,442113,89030.0,312186.0,40688.0,130992,117090.0,107126.0,9806.0,96007.0,46473.0,116125.0,805.0,106675.0,114799.0,91.49,99.18,81.99,3.78,437382,46.88,56.34,9.87,1.07
014,Benito Juárez,434153,51243.0,321279.0,61593.0,199993,176053.0,175745.0,43.0,160719.0,158802.0,175751.0,33.0,175690.0,175671.0,99.83,99.83,91.29,2.47,373753,8.7,12.86,5.76,13.91
015,Cuauhtémoc,545884,83469.0,398058.0,64291.0,227906,196466.0,195626.0,183.0,170762.0,166899.0,195673.0,131.0,195451.0,195410.0,99.57,99.6,86.92,2.78,491817,21.74,29.03,4.97,9.9
016,Miguel Hidalgo,414470,62495.0,295866.0,50183.0,168191,146762.0,144419.0,109.0,119499.0,102876.0,144398.0,129.0,144282.0,144260.0,98.4,98.39,81.42,2.82,364554,14.29,20.63,3.57,12.04
017,Venustiano Carranza,443704,78081.0,310974.0,54234.0,151569,135768.0,135223.0,75.0,124351.0,106798.0,135217.0,65.0,135108.0,135077.0,99.6,99.59,91.59,3.27,414915,29.9,41.67,3.43,6.49
